Unnamed: 0,HSN_code,name_of_commodity,chapter_no,sch,gst
63,0206.30.00,"Of swine (pork), fresh or chilled of swine
(pork), fresh and chilled",2.0,I,NIL
64,0206.41.00,Edible offal of swine Livers - frozen,2.0,III,12%
65,0206.49.00,Other edible offal of swine (frozen),2.0,III,12%
66,0206.80.10,"Edible offal of sheep (including lamb) of
goats, horses, asses, mules or hinnies - fresh
and chilled",2.0,I,NIL
67,0206.80.90,"Other, edible offal of sheep (including lamb)
of goats, horses, asses, mules or hinnies -
fresh and chilled",2.0,I,NIL
68,0206.90.10,"Edible offal of sheep (including lamb) of
goats, horses, asses, mules or hinnies - frozen",2.0,III,12%
69,0206.90.90,"Other, edible offal of sheep (including lamb)
of goats, horses, asses, mules or hinnies -
frozen",2.0,III,12%
70,0207.00.00,"Meat & edible offal of poultry, fresh and chilled",2.0,I,NIL
71,0207.00.00,"Meat & edible offal of poultry, frozen",2.0,III,12%
72,0207.11.00,"Turkeys other: chickens young (broilers,
fryers, roasters, and capons) ducks, geese
and guineas poultry not cut in pieces, fresh
and chilled: chickens: young (broilers, fryers,
roasters, and capons)",2.0,I,NIL
73,0207.12.00,"Meat & edible offal of poultry, fresh & chilled
of fowls not cut in pieces",2.0,I,NIL
74,0207.14.00,"Meat & edible offal of poultry, fresh or chilled
of fowls cuts and offal",2.0,I,NIL
75,0207.22.00,Turkeys fresh & chilled,2.0,I,NIL
76,0207.24.00,Turkeys not cut in pieces fresh & chilled,2.0,I,NIL
77,0207.25.00,Turkeys not cut in pieces frozen,2.0,III,12%
78,0207.26.00,Turkeys cut in pieces fresh & chilled,2.0,I,NIL
79,0207.27.00,Turkeys cut in pieces frozen,2.0,III,12%
80,0207.30.00,"Meat & edible offal of ducks, geese or guinea
fowls fresh or chilled",2.0,I,NIL
81,0207.31.00,"Meat & edible offal of ducks, geese or guinea
fowls frozen",2.0,III,12%
82,0207.32.00,"Meat & edible offal of ducks, geese or guinea
fowls - not cut in pieces fresh or chilled",2.0,I,NIL
83,0207.33.00,"Meat & edible offal of ducks, geese or guinea
fowls - not cut in pieces -frozen",2.0,III,12%
84,0207.34.00,Fatty livers of geese or ducks fresh or chilled,2.0,I,NIL
85,0207.36.00,Fatty livers of geese or ducks frozen,2.0,III,12%
86,,,,,
87,0207.35.00,"Other, Fatty livers of geese or ducks - fresh or
chilled",2.0,I,NIL
88,0207.39.00,"Chickens, turkeys, ducks, geese or guineas
poultry cuts and offal other than livers, frozen:",2.0,III,12%
89,0208.00.00,"Other meat & edible meat offal , fresh, chilled",2.0,I,NIL
90,0208.00.00,"Other meat & edible meat offal ,frozen",2.0,III,12%
91,0208.10.00,"Edible offal of Rabbits or hares - fresh or
chilled",2.0,I,NIL
92,0208.10.00,Edible offal of Rabbits or hares - frozen,2.0,III,12%
93,0208.20.00,Edible offal of Frogs' legs - fresh or chilled,2.0,I,NIL
94,0208.20.00,Edible offal of Frogs' legs - frozen,2.0,III,12%
95,0208.30.00,Edible offal of Primates - fresh or chilled,2.0,I,NIL
96,0208.30.00,Edible offal of Primates - frozen,2.0,III,12%
97,0208.40.00,"Edible offal of Whales, dolphins and
porpoises; of manatees and dugongs - fresh
or chilled",2.0,I,NIL
98,0208.40.00,"Edible offal of Whales, dolphins and
porpoises; of manatees and dugongs - frozen",2.0,III,12%
99,0208.50.00,"Edible offal of Reptiles (including snakes and
turtles) - fresh or chilled",2.0,I,NIL
100,0208.50.00,"Edible offal of Reptiles (including snakes and
turtles) - frozen",2.0,III,12%
101,0208.90.00,"Other meat and edible offal (fresh, chilled)",2.0,I,NIL
102,0208.90.00,Other meat and edible offal (frozen),2.0,III,12%
103,0208.90.10,Wild animals,2.0,I,NIL
104,0208.90.90,"Other meat and edible offal (fresh, chilled):
other",2.0,I,NIL
105,0208.90.90,Other meat and edible offal (frozen): other,2.0,III,12%
106,0209.00.00,"Pig fat free of lean meat and poultry fat (not
rendered),fresh, chilled",2.0,I,NIL
107,0209.00.00,"Pig fat free of lean meat and poultry fat (not
rendered)salted, in brine, dried or smoked
(Frozen)",2.0,III,12%
108,0210.00.00,"Meat & ed offal salted, dried etc. & flour &
meal",2.0,III,12%
109,0210.11.00,"Hams, shoulders and cuts thereof, with bone
in",2.0,III,12%
110,0210.12.00,Bellies (streaky) and cuts thereof: bacon other,2.0,III,12%
111,0210.19.00,"Other meat of swine (salted, in brine, dried,
smoked)",2.0,III,12%
112,0210.20.00,Meat of bovine animals,2.0,III,12%
113,,,,,
114,0210.90.00,"Other, including edible flours and meals of
meat or meat offal",2.0,III,12%
115,0301.00.00,Live Fish,3.0,I,NIL
116,0301.10.00,Ornamental fish,3.0,I,NIL
117,0301.91.00,"Trout (salmo trutta, salmo gairdneri, salmo
clarki, salmo aguabonita, salmo gilae)",3.0,I,NIL
118,0301.92.00,Eels (anguilla spp),3.0,I,NIL
119,0301.93.00,Carp,3.0,I,NIL
120,0301.94.00,Bluefin tunas (Thunnus thynnus),3.0,I,NIL
121,0301.95.00,Southern bluefin tunas (Thunnus thynnus),3.0,I,NIL
122,0301.99.00,Other live fish,3.0,I,NIL
123,0302.00.00,"Fish, fresh or chilled (excluding fish fillets and
other fish meat)",3.0,I,NIL
124,0302.11.00,"Trout (salmo trutta, salmo gairdneri, salmo
clarki, salmo aguabonita, salmo gilae):
rainbow trout (salmo gairdneri), farmed",3.0,I,NIL
125,0302.12.00,"Pacific salmon (oncorhynchus spp), atlantic
salmon (salmo salar) and danube salmon
(hucho) atlantic: farmed , not farmed ,
chinook (king), chum (dog) , pink
(humpie),sockeye (red), coho (silver)",3.0,I,NIL
126,0302.19.00,"Flat fish (pleuronectidae, bothidae,
cynoglossidae, soleidae, scophthalmidae and
citharidae), excluding livers and roes:",3.0,I,NIL
127,0302.21.00,"Halibut and greenland turbot (reinhardtius
hippoglossoides, hippoglossus hippoglossus,
hippoglossus stenolepis)",3.0,I,NIL
128,0302.22.00,Plaice (pleuronectes platessa),3.0,I,NIL
129,0302.23.00,Sole (solea spp),3.0,I,NIL
130,0302.29.00,"Tunas (of genus thunnus), skipjack or stripe-
bellied bonito (euthynnus (katsuwonus,
pelamis), excluding livers and roes:",3.0,I,NIL
131,0302.31.00,"Albacore or longfinned tunas (thunnus
alalunga)",3.0,I,NIL
132,0302.32.00,Yellowfin tunas (thunnus albacares),3.0,I,NIL
133,0302.33.00,Skipjack or stripe-bellied bonito,3.0,I,NIL
134,0302.39.00,Bluefin (thunnus thynnus),3.0,I,NIL
135,0302.40.00,"Herrings (clupea harengus, clupea pallasii),
excluding livers and roes",3.0,I,NIL
136,0302.50.00,"Cod (gadus morhua, gadus ogac, gadus
macrocephalus), excluding livers and roes
other fish, excluding livers and roes:",3.0,I,NIL
137,,,,,
138,0302.61.00,"Sardines (sardina pilchardus, sardinops spp),
sardinella (sardinella spp), brisling or
sprats(sprattus sprattus)",3.0,I,NIL
139,0302.62.00,Haddock (melanogrammus aeglefinus),3.0,I,NIL
140,0302.63.00,Atlantic pollock (coalfish) (pollachius virens),3.0,I,NIL
141,0302.64.00,"Mackerel (scomber scombrus, scomber
australasicus, scomb er japonicus)",3.0,I,NIL
142,0302.65.00,"Dogfish and other sharks, dogfish (squalus
spp)",3.0,I,NIL
143,0302.66.00,Eels (anguilla spp),3.0,I,NIL
144,0302.69.00,"Sablefish (anoplopoma fimbria),lingcod
(ophiodon elongatus), monkfish (lophius spp)",3.0,I,NIL
145,0302.70.00,"Livers and roes, mullet roe",3.0,I,NIL
146,0303.00.00,"Fish, Frozen (excluding fish fillets and other
fish meat)",3.0,II,5%
147,0303.10.00,"Pacific salmon (oncorhynchus spp),
excludinglivers and roes:",3.0,II,5%
148,0303.11.00,Chinook (king),3.0,II,5%
149,0303.12.00,Chum (dog),3.0,II,5%
150,0303.13.00,Pink (humpie),3.0,II,5%
151,0303.14.00,Sockeye (red),3.0,II,5%
152,0303.15.00,Coho (silver),3.0,II,5%
153,0303.16.00,"Other , other salmonidae, excluding livers and
roes:",3.0,II,5%
154,0303.21.00,"Trout (salmo trutta, salmo gairdneri, salmo,
clarki, salmo aguabonita, salmo gilae)",3.0,II,5%
155,0303.22.00,"Tlantic salmon (salmo salar) and danube
salmon (hucho hucho)",3.0,II,5%
156,0303.29.00,"Other flat fish (pleuronectidae, bothidae,
cynoglossidae,soleidae, scophthalmidae and
citharidae), excluding livers and roes:",3.0,II,5%
157,0303.31.00,"Halibut and greenland turbot (reinhardtius,
hippoglossoides,hippoglossus hippoglossus,
hippoglossus stenolepis):",3.0,II,5%
158,0303.32.00,Plaice (pleuronectes platessa),3.0,II,5%
159,0303.33.00,Sole (solea spp),3.0,II,5%
160,0303.39.00,"Tunas (of genus thunnus), skipjack or stripe-
bellied bonito (euthynnus (katsuwonus
pelamis), excluding livers and roes:",3.0,II,5%
161,0303.41.00,"Albacore or longfinned tunas (thunnus
alalunga)",3.0,II,5%
162,,,,,
163,0303.42.00,Yellowfin tunas (thunnus albacares),3.0,II,5%
164,0303.43.00,Skipjack or stripe-bellied bonito,3.0,II,5%
165,0303.49.00,Bluefin (thunnus thynnus),3.0,II,5%
166,0303.50.00,"Herrings (clupea harengus, clupea
pallasii),excluding livers and roes",3.0,II,5%
167,0303.60.00,"Cod (gadus morhua, gadus ogac, gadus
macrocephalus), other fish, excluding livers
and roes:",3.0,II,5%
168,0303.71.00,"Sardines (sardina pilchardus, sardinops spp),
sardinella (sardinella spp), brisling or
sprats(sprattus sprattus)",3.0,II,5%
169,0303.72.00,Haddock (melanogrammus aeglefinus),3.0,II,5%
170,0303.73.00,Atlantic pollock (pollachius virens),3.0,II,5%
171,0303.74.00,"Mackerel (scomber scombrus, scomber
australasicus, scomber japonicus)",3.0,II,5%
172,0303.75.00,"Dogfish and other sharks, dogfish (squalus
spp)",3.0,II,5%
173,0303.76.00,Eels (anguilla spp),3.0,II,5%
174,0303.77.00,"Sea bass (dicentrarchus labrax, dicentrarchus
punctatus)",3.0,II,5%
175,0303.78.00,"Whiting (merluccius spp) and hake (urophycis
spp)",3.0,II,5%
176,0303.79.00,"Tilapia (tilapiinae), mullet , monkfish (lophius
spp), butterfish, sablefish (anoplopoma
fimbria)",3.0,II,5%
177,0303.80.00,"Livers and roes sturgeon roe , herring roe,
salmon roe alaska pollock (theragra
chalcogramma) roe mullet roe",3.0,II,5%
178,0304.00.00,"Fish fillets and other fish meat (whether or
not minced), fresh or chilled",3.0,I,NIL
179,0304.00.00,"Fish fillets and other fish meat (whether or
not minced), frozen",3.0,II,5%
180,0304.10.00,Fresh or chilled: tilapia (tilapiinae),3.0,I,NIL
181,0304.10.00,Frozen: tilapia (tilapiinae),3.0,II,5%
182,0304.11.00,Sword fish (Xiphias gladius) - fresh or chilled,3.0,I,NIL
183,0304.21.00,Sword fish (Xiphias gladius) - frozen,3.0,II,5%
184,0304.12.00,Tooth fish (Dissostichus spp.) - fresh or chilled,3.0,I,NIL
185,0304.22.00,Tooth fish (Dissostichus spp.) - frozen,3.0,II,5%
186,0304.19.00,"Other - Hilsa, shark, seer, tuna, cuttlefish -
fresh or chilled",3.0,I,NIL
187,0304.29.00,"Other - Hilsa, shark, seer, tuna, cuttlefish -
frozen",3.0,II,5%
188,,,,,
189,0304.20.00,"Frozen fillets: cod halibut , fresh-water catfish,
tilapia (tilapiinae) alaska pollock (theragra
chalcogramma)",3.0,II,5%
190,0304.90.00,"Other: minced: surim, alaska pollock (theragra
chalcogramma) - fresh or chilled",3.0,I,NIL
191,0304.90.00,"Other: minced: surim, alaska pollock (theragra
chalcogramma) - frozen",3.0,II,5%
192,0305.00.00,"Fish, dried, salted or in brine; smoked fish;
whether or not cooked before or during the
smoking process; flours, meals and pellets, of
fish fit for human consumption",3.0,II,5%
193,0305.10.00,"Flours, meals and pellets of fish, fit for human
consumption",3.0,II,5%
194,0305.20.00,"Livers and roes, dried, smoked, salted or in
brine, salmon roe, herring roe",3.0,II,5%
195,0305.30.00,"Fish fillets, dried, salted or in brine, but not
smoked smoked fish, including fillets:",3.0,II,5%
196,0305.41.00,"Pacific salmon (oncorhynchus spp), atlantic
salmon (salmo salar) and danube salmon
(hucho hucho)",3.0,II,5%
197,0305.42.00,"Herrings (clupea harengus, clupea pallasii)",3.0,II,5%
198,0305.49.00,"Other, dried fish, whether or not salted but
not smoked:",3.0,II,5%
199,0305.51.00,"Cod (gadus morhua, gadus ogac, gadus
macrocephalus)",3.0,II,5%
200,0305.59.00,"Other fish, salted but not dried or smoked and
fish in brin",3.0,II,5%
201,0305.61.00,"Herrings (clupea harengus, clupea pallasii)",3.0,II,5%
202,0305.62.00,"Cod (gadus morhua, gadus ogac, gadus
macrocephalus)",3.0,II,5%
203,0305.63.00,Anchovies (engraulis spp),3.0,II,5%
204,0305.69.00,Other fish (salted or in brine),3.0,II,5%
205,0306.00.00,"Crustaceans, whether in shell or not, live,
fresh or chilled; crustaceans, in shell, cokked
by steaming or by boiling in water, chilled",3.0,I,NIL
206,,,,,
207,0306.00.00,"Crustaceans, whether in shell or not, frozen,
dried, salted or in brine; crustaceans, in shell,
cooked by steaming or by boiling in water,
frozen, dried, salted or in brine; flours, meals
and pellets of crustaceans, fit for human
consumption.",3.0,II,5%
208,0306.11.00,Rock lobster and other sea crawfish - frozen,3.0,II,5%
209,0306.21.00,"Rock lobster and other sea crawfish - not
frozen",3.0,I,NIL
210,0306.12.00,Lobsters (homarus spp)- frozen,3.0,II,5%
211,0306.22.00,Lobsters (homarus spp) - not forzen,3.0,I,NIL
212,0306.13.00,Shrimps and prawns - frozen,3.0,II,5%
213,0306.23.00,Shrimps and prawns - not frozen,3.0,I,NIL
214,0306.14.00,Crabs: crabmeat - frozen,3.0,II,5%
215,0306.24.00,Crabs: crabmeat - not frozen,3.0,I,NIL
216,0306.19.00,"Other, including flours, meals and pellets of
crustaceans, fit for human consumption -
frozen",3.0,II,5%
217,0306.29.00,"Other, including flours, meals and pellets of
crustaceans, fit for human consumption - not
frozen",3.0,II,5%
218,0307.00.00,"Molluscs, whether in shell or not, live, fresh or
chilled; auatic inverterbrates other than
crustaceans and molluscs live, fresh, chilled",3.0,I,NIL
219,0307.00.00,"Molluscs, whether in shell or not, frozen,
dried, salted or in brine; auatic invertebrates
other than crustaceans and molluscs, frozen,
dried, salted or in brine; flours, meals and
pellets of aquatic invertebra other than
crustaceans, fit for human consumption.",3.0,II,5%
220,0307.10.00,"Oysters - Live, fresh or chilled",3.0,I,NIL
221,0307.14.00,"Other, scallops, including queen scallops, of
the genera pecten, chlamys or placopecten -
live, fresh or chilled",3.0,I,NIL
222,0307.29.00,"Other, mussels (mytilus spp, perna spp): live,
fresh or chilled:",3.0,I,NIL
223,0307.31.00,"Farmed, cuttle fish (sepia officinalis, rossia
macrosoma,sepiola spp) and squid
(ommastrephes spp, loligo spp, nototodarus
spp, sepioteuthis spp): live, fresh and chilled",3.0,I,NIL
224,0307.39.10,"Clams, clam meat - live, fresh and chilled",3.0,I,NIL
225,0307.41.00,"Live, fresh or chilled: squid: loligo",3.0,I,NIL
226,,,,,
227,0307.49.00,"Squid: frozen fillets, loligo: loligo opalescens,
loligo pealei, octopus (octopus spp):",3.0,II,5%
228,0307.49.10,"Squid tubes, frozen",3.0,II,5%
229,0307.49.20,"Whole squids, frozen",3.0,II,5%
230,0307.49.30,Dried squids,3.0,II,5%
231,0307.51.00,"OctopusLive, fresh or chilled",3.0,I,NIL
232,0307.60.00,"Snails, other than sea snails, other, including
flours, meals and pellets of aquatic
invertebrates other than crustaceans, fit for
human consumption:",3.0,II,5%
233,0307.91.00,"Live, fresh or chilled: sea urchin: roe, conch",3.0,I,NIL
234,0307.99.00,"Live, fresh or chilled: sea urchin: roe, conch:
Other",3.0,I,NIL
235,0307.99.20,"Jelly fish, dried, salted or frozen",3.0,II,5%
236,0307.99.90,"Jelly fish, dried, salted or frozen: Other",3.0,II,5%
237,0308.00.00,"Aquatic invertebrates other than crustaceans
and molluscs, live, fresh or chilled;",3.0,I,NIL
238,0308.00.00,"Aquatic invertebrates other than crustaceans
and molluscs, frozen, dried, salted or in brine;
smoked aquatic invertebrates other than
crustaceans and molluscs, whether or not
cooked before or during the smoking process;
flours meals and pellets of aquatic
invertebrates other than crustaceans and
molluscs, fit for human consumption.",3.0,II,5%
239,0401.00.00,"Fresh milk and pateurised milk, including
separated milk, milk and cream, not
concentrated nor containing added sugar or
other sweetening matter (Excluding Ultra
high temperature (UTH) milk",4.0,I,NIL
240,0401.00.00,Ultra high temperature (UTH) milk,4.0,II,5%
241,0401.10.00,"Fresh Milk of a fat content, by weight, not
exceeding 1 percent liters",4.0,I,NIL
242,0401.20.00,"Fresh milk of a fat content, by weight,
exceeding 1 percent but not exceeding 6
percent liters",4.0,I,NIL
243,0401.30.00,"Fresh milk of a fat content, by weight,
exceeding 6 percent liters",4.0,I,NIL
244,,,,,
245,0402.00.00,"Milk and cream, concentrated or containing
added sugar or other sweetening matter
including skimmed milk powder, milk food for
babies, excluding condensed milk",4.0,II,5%
246,0402.10.00,"In powder, granules or other solid forms, of a
fat content,by weight, not exceeding 15
percent in powder, granules or other solid
forms, of a fat content, by weight, exceeding
15percent",4.0,II,5%
247,0402.10.10,Skimmed milk powder and UHT milk,4.0,II,5%
248,0402.10.20,"Milk and cream in powder, granules or other
solid forms, of a fat content by weight not
exceeding 1.5% - Milk food for babies",4.0,II,5%
249,0402.10.90,"Milk and cream in powder, granules or other
solid forms, of a fat content by weight not
exceeding 1.5% - Other",4.0,II,5%
250,0402.21.00,"Milk and cream in powder, granules or other
solid forms, of a fat content by weight
exceeding 1.5% - Not containing added
sugar or other sweetening matter",4.0,II,5%
251,0402.29.00,"Milk, cream (sweetened, fat content
exceeding 1.5%)",4.0,II,5%
252,0402.29.10,"Whole Milk (sweetened, fat content exceeding
1.5%)",4.0,II,5%
253,0402.29.20,"Milk powder for babies (sweetened, fat
content exceeding 1.5%)",4.0,II,5%
254,0402.91.00,"Not containing added sugar or other
sweetening matter",4.0,II,5%
255,0402.91.10,"Condensed milk - Not containing added sugar
or other sweetening matter",4.0,IV,18%
256,0402.99.20,"Condensed milk - Not containing added sugar
or other sweetening matter",4.0,IV,18%
257,0402.99.00,"Milk, cream (concentrated or
sweetened)(Other whole milk)",4.0,II,5%
258,0403.00.00,"Cream, yogurt, kephir and other fermented or
acidified milk and cream, wheter or not
concentrated or containing added sugar or
other sweetening matter or flavoured or
containing added fruit, nuts or cocoa.",4.0,II,5%
259,0403.10.00,Yogurt,4.0,II,5%
260,0403.90.00,Buttermilk,4.0,I,NIL
261,0403.90.00,Curd,4.0,I,NIL
262,0403.90.00,Lassi,4.0,I,NIL
263,,,,,
264,0404.00.00,"Whey , whether or not concentrated or
containing added sugar or other sweetening
matter; products consisting of natural milk
constituents, whether or not containing added
sugar or other sweetening matter not
elsewhere specified or included.",4.0,II,5%
265,0404.10.00,"Whey and modified whey, whether or not
concentrated or containing added sugar or
other sweetening matter: modified whey:
whey protein concentrates.",4.0,II,5%
266,0404.90.00,"Other products consisting of natural milk
constituents",4.0,II,5%
267,0405.00.00,"Butter and other fats (ghee, butter oil etc.,)
and oils derived from milk; dairy spreads",4.0,III,12%
268,0405.10.00,Butter,4.0,III,12%
269,0405.20.00,Dairy spreads,4.0,III,12%
270,0405.90.10,Butter oil,4.0,III,12%
271,0405.90.20,Ghee,4.0,III,12%
272,0406.00.00,Chena or paneer,4.0,I,NIL
273,0406.00.00,"Chena or paneer put up in unit container and
bearing a registered brand name",4.0,II,5%
274,0406.10.00,Curd (Fresh),4.0,I,NIL
275,0406.10.00,"Fresh (unripened or uncured) cheese,
including whey cheese",4.0,III,12%
276,0406.20.00,"Grated or powdered cheese, of all kinds",4.0,III,12%
277,0406.30.00,"Processed (process) cheese, not grated or
powdered (Cottage Cheese (Paneer))",4.0,III,12%
278,0406.40.00,Blue-veined cheese,4.0,III,12%
279,0406.90.00,"Other cheese: cheddar cheese , colby , other,
including mixtures",4.0,III,12%
280,0407.00.00,"Birds' eggs, in shell, fresh, preserved or
cooked:",4.0,I,NIL
281,0407.00.00,"Birds' eggs, in the shell, fresh, preserved or
cooked",4.0,I,NIL
282,0407.00.10,"Sepcies gallus domesticus and ducks for
hatching",4.0,I,NIL
283,0407.00.20,"Eggs of the species gallus amd ducks other
that for hatching",4.0,I,NIL
284,0407.00.90,"Birds' eggs, in shell, fresh, preserved or
cooked:Other",4.0,I,NIL
285,0407.20.00,"Birds' eggs, in shell, fresh, preserved or
cooked: For hatching doz",4.0,I,NIL
286,0407.40.00,"Birds' eggs, in shell, fresh, preserved or
cooked: Other doz",4.0,I,NIL
287,,,,,
288,0408.00.00,"Birds eggs, not in shell, and egg yolks, fresh,
dried, cooked by styeaming or by boiling in
water, moulded, frozen or otherwise
preserved whether or not containing added
sugar or other sweetening matter.",4.0,II,5%
289,0408.11.00,Egg yolks (dried),4.0,II,5%
290,0408.19.00,"Egg yolks (fresh, frozen, other preserved; not
dried)",4.0,II,5%
291,0408.99.00,"Birds' eggs (not in shell; frozen, preserved or
cooked)",4.0,II,5%
292,0409.00.00,"Natural Honey, other than put up in unit
containiner and bearing a registered brand
name",4.0,I,NIL
293,0409.00.00,"Natural Honey, put up in unit containiner and
bearing a registered brand name",4.0,II,5%
294,0409.10.00,Natural honey,4.0,I,NIL
295,0409.20.00,Packaged for retail sale,4.0,II,5%
296,0410.00.00,"Edible products of animal origin, not
elsewhere specified or included",4.0,II,5%
297,0410.00.10,Edible products of wild animal,4.0,II,5%
298,0410.00.20,"Edible products of Turtle eggs and Salanganes
nests",4.0,II,5%
299,0410.00.90,"Edible products of animal origin, nesoi: Other",4.0,II,5%
300,0501.00.00,"Human hair, unworked , whether or not
washed or scoured; waste of human hair",5.0,I,NIL
301,0501.00.10,"Human hair unworked, whether or not
washed or scoured",5.0,I,NIL
302,0501.00.20,Human hair waste,5.0,I,NIL
303,0502.00.00,"Pigs', hogs' or boars' bristles and hair ; badger
hair and other brush making hair; waste of
such bristles or hair.",5.0,II,5%
304,0502.10.10,"Pigs', hogs' or boars' bristles and hair",5.0,II,5%
305,0502.10.00,"Waste of Pigs', hogs' or boars' bristles and hair",5.0,II,5%
306,0502.90.10,Badger hair and other brushmaking hair,5.0,II,5%
307,0502.90.20,Yak hair and other brushmaking hair,5.0,II,5%
308,0503.00.00,"Horsehair (as defined in note 4) and horsehair
waste, whether or not put up as a layer with
or without supporting material",5.0,II,5%
309,0504.00.00,"Guts, bladders and stomachs of animals
(other than fish), whole and pieces thereof;
fresh, chilled, frozen, salted, in brine, dried or
smoked",5.0,II,5%
310,,,,,
311,0504.00.10,"Guts of cattle fornatural food casings fresh,
chilled, frozen, salted, in brine, dried or
smoked",5.0,II,5%
312,0504.00.20,"Guts of cattle sheep and goats for natural
food casings fresh, chilled, frozen, salted, in
brine, dried or smoked",5.0,II,5%
313,0504.00.31,"Guts of other wild animals for natural food
casings",5.0,II,5%
314,0504.40.00,"Guts, bladders and stomachs of animals
(other than fish), whole and pieces thereof:
prepared for use as sausage casings:",5.0,II,5%
